TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ENGINE,VERSION,ROW_FORMAT,TABLE_ROWS,AVG_ROW_LENGTH,DATA_LENGTH,MAX_DATA_LENGTH,INDEX_LENGTH,DATA_FREE,AUTO_INCREMENT,CREATE_TIME,UPDATE_TIME,CHECK_TIME,TABLE_COLLATION,CHECKSUM,CREATE_OPTIONS,TABLE_COMMENT
def,bball,NBA_ADVANCED,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:20,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PER_100_POSS,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:19,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PER_36_MINUTES,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:18,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PER_GAME,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:18,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PLAYOFFS_ADVANCED,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PLAYOFFS_PER_100_POSS,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PLAYOFFS_PER_36_MINUTES,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PLAYOFFS_PER_GAME,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PLAYOFFS_SHOOTING,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_PLAYOFFS_TOTALS,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_ROSTER,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:14,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_SALARIES,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_SHOOTING,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 1:22,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_TEAM_AND_OPPONENT_STATS,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:16,NULL,NULL,utf8_general_ci,NULL,,
def,bball,NBA_TOTALS,BASE TABLE,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,3/30/2016 0:16,NULL,NULL,utf8_general_ci,NULL,,
