 Volume in drive C is Windows
 Volume Serial Number is 1656-BB67

 Directory of C:\Users\Donald\Google Drive\Basketball Model\Basketball-Model\yaml_files

04/05/2016  08:27 PM    <DIR>          .
04/05/2016  08:27 PM    <DIR>          ..
04/05/2016  08:27 PM                 0 aaa_yaml_filelist.txt
03/30/2016  10:02 PM            51,854 ATL_2001.yml
03/30/2016  10:02 PM            42,694 ATL_2002.yml
03/30/2016  10:02 PM            48,283 ATL_2003.yml
03/30/2016  10:02 PM            51,888 ATL_2004.yml
03/30/2016  10:02 PM            46,500 ATL_2005.yml
03/30/2016  10:02 PM            37,009 ATL_2006.yml
03/30/2016  10:02 PM            44,964 ATL_2007.yml
03/30/2016  10:02 PM            63,766 ATL_2008.yml
03/30/2016  10:02 PM            67,024 ATL_2009.yml
03/30/2016  10:02 PM            61,682 ATL_2010.yml
03/30/2016  10:02 PM            69,052 ATL_2011.yml
03/30/2016  10:02 PM            65,581 ATL_2012.yml
03/30/2016  10:02 PM            69,219 ATL_2013.yml
03/30/2016  10:02 PM            67,420 ATL_2014.yml
03/29/2016  10:18 PM            65,921 ATL_2015.yml
03/30/2016  10:02 PM            42,659 ATL_2016.yml
03/30/2016  10:03 PM            41,117 BOS_2001.yml
03/30/2016  10:03 PM            62,287 BOS_2002.yml
03/30/2016  10:03 PM            65,260 BOS_2003.yml
03/30/2016  10:03 PM            69,122 BOS_2004.yml
03/30/2016  10:03 PM            62,137 BOS_2005.yml
03/30/2016  10:03 PM            42,875 BOS_2006.yml
03/30/2016  10:03 PM            39,308 BOS_2007.yml
03/30/2016  10:03 PM            61,981 BOS_2008.yml
03/30/2016  10:03 PM            65,323 BOS_2009.yml
03/30/2016  10:03 PM            71,211 BOS_2010.yml
03/30/2016  10:03 PM            72,870 BOS_2011.yml
03/30/2016  10:03 PM            69,269 BOS_2012.yml
03/30/2016  10:03 PM            69,343 BOS_2013.yml
03/30/2016  10:03 PM            44,467 BOS_2014.yml
03/30/2016  10:03 PM            77,020 BOS_2015.yml
03/30/2016  10:02 PM            40,378 BOS_2016.yml
03/30/2016  10:37 PM            67,304 BRK_2013.yml
03/30/2016  10:37 PM            69,908 BRK_2014.yml
03/30/2016  10:37 PM            71,318 BRK_2015.yml
03/30/2016  10:37 PM            41,563 BRK_2016.yml
03/30/2016  10:16 PM            39,036 CHI_2001.yml
03/30/2016  10:16 PM            42,916 CHI_2002.yml
03/30/2016  10:16 PM            37,272 CHI_2003.yml
03/30/2016  10:16 PM            48,575 CHI_2004.yml
03/30/2016  10:16 PM            62,312 CHI_2005.yml
03/30/2016  10:16 PM            69,301 CHI_2006.yml
03/30/2016  10:16 PM            60,053 CHI_2007.yml
03/30/2016  10:16 PM            44,592 CHI_2008.yml
03/30/2016  10:16 PM            69,269 CHI_2009.yml
03/30/2016  10:16 PM            67,414 CHI_2010.yml
03/30/2016  10:16 PM            61,724 CHI_2011.yml
03/30/2016  10:16 PM            59,798 CHI_2012.yml
03/30/2016  10:16 PM            65,637 CHI_2013.yml
03/30/2016  10:16 PM            65,483 CHI_2014.yml
03/30/2016  10:16 PM            62,140 CHI_2015.yml
03/30/2016  10:16 PM            41,048 CHI_2016.yml
03/30/2016  10:17 PM                 7 CHO_2004.yml
03/30/2016  10:17 PM            44,647 CHO_2005.yml
03/30/2016  10:17 PM            39,159 CHO_2006.yml
03/30/2016  10:17 PM            43,014 CHO_2007.yml
03/30/2016  10:16 PM            37,338 CHO_2008.yml
03/30/2016  10:16 PM            53,818 CHO_2009.yml
03/30/2016  10:16 PM            69,257 CHO_2010.yml
03/30/2016  10:16 PM            44,712 CHO_2011.yml
03/30/2016  10:16 PM            39,001 CHO_2012.yml
03/30/2016  10:16 PM            42,955 CHO_2013.yml
03/30/2016  10:16 PM            70,970 CHO_2014.yml
03/30/2016  10:16 PM            41,169 CHO_2015.yml
03/30/2016  10:16 PM            41,264 CHO_2016.yml
03/30/2016  10:23 PM            46,549 CLE_2001.yml
03/30/2016  10:23 PM            37,200 CLE_2002.yml
03/30/2016  10:23 PM            35,327 CLE_2003.yml
03/30/2016  10:23 PM            48,138 CLE_2004.yml
03/30/2016  10:23 PM            38,995 CLE_2005.yml
03/30/2016  10:23 PM            65,860 CLE_2006.yml
03/30/2016  10:23 PM            63,773 CLE_2007.yml
03/30/2016  10:23 PM            78,742 CLE_2008.yml
03/30/2016  10:23 PM            64,036 CLE_2009.yml
03/30/2016  10:23 PM            69,509 CLE_2010.yml
03/30/2016  10:23 PM            44,799 CLE_2011.yml
03/30/2016  10:23 PM            48,353 CLE_2012.yml
03/30/2016  10:23 PM            44,914 CLE_2013.yml
03/30/2016  10:23 PM            47,924 CLE_2014.yml
03/30/2016  10:23 PM            74,658 CLE_2015.yml
03/30/2016  10:23 PM            42,466 CLE_2016.yml
03/30/2016  10:24 PM            71,349 DAL_2001.yml
03/30/2016  10:24 PM            71,458 DAL_2002.yml
03/30/2016  10:24 PM            66,184 DAL_2003.yml
03/30/2016  10:24 PM            58,338 DAL_2004.yml
03/30/2016  10:24 PM            64,309 DAL_2005.yml
03/30/2016  10:24 PM            66,168 DAL_2006.yml
03/30/2016  10:24 PM            64,062 DAL_2007.yml
03/30/2016  10:24 PM            74,330 DAL_2008.yml
03/30/2016  10:24 PM            63,998 DAL_2009.yml
03/30/2016  10:24 PM            67,565 DAL_2010.yml
03/30/2016  10:23 PM            67,668 DAL_2011.yml
03/30/2016  10:23 PM            65,425 DAL_2012.yml
03/30/2016  10:23 PM            52,123 DAL_2013.yml
03/30/2016  10:23 PM            63,724 DAL_2014.yml
03/30/2016  10:23 PM            74,791 DAL_2015.yml
03/30/2016  10:23 PM            41,630 DAL_2016.yml
03/30/2016  10:25 PM            42,827 DEN_2001.yml
03/30/2016  10:24 PM            48,697 DEN_2002.yml
03/30/2016  10:24 PM            48,583 DEN_2003.yml
03/30/2016  10:24 PM            61,995 DEN_2004.yml
03/30/2016  10:24 PM            65,762 DEN_2005.yml
03/30/2016  10:24 PM            69,413 DEN_2006.yml
03/30/2016  10:24 PM            63,898 DEN_2007.yml
03/30/2016  10:24 PM            65,517 DEN_2008.yml
03/30/2016  10:24 PM            65,659 DEN_2009.yml
03/30/2016  10:24 PM            58,152 DEN_2010.yml
03/30/2016  10:24 PM            69,374 DEN_2011.yml
03/30/2016  10:24 PM            65,687 DEN_2012.yml
03/30/2016  10:24 PM            62,070 DEN_2013.yml
03/30/2016  10:24 PM            39,112 DEN_2014.yml
03/30/2016  10:24 PM            46,674 DEN_2015.yml
03/30/2016  10:24 PM            46,257 DEN_2016.yml
03/30/2016  10:25 PM            41,094 DET_2001.yml
03/30/2016  10:25 PM            62,326 DET_2002.yml
03/30/2016  10:25 PM            62,509 DET_2003.yml
03/30/2016  10:25 PM            66,190 DET_2004.yml
03/30/2016  10:25 PM            66,268 DET_2005.yml
03/30/2016  10:25 PM            65,995 DET_2006.yml
03/30/2016  10:25 PM            62,430 DET_2007.yml
03/30/2016  10:25 PM            73,147 DET_2008.yml
03/30/2016  10:25 PM            60,230 DET_2009.yml
03/30/2016  10:25 PM            35,488 DET_2010.yml
03/30/2016  10:25 PM            33,582 DET_2011.yml
03/30/2016  10:25 PM            35,475 DET_2012.yml
03/30/2016  10:25 PM            39,226 DET_2013.yml
03/30/2016  10:25 PM            37,242 DET_2014.yml
03/30/2016  10:25 PM            46,710 DET_2015.yml
03/30/2016  10:25 PM            41,513 DET_2016.yml
03/30/2016  10:25 PM            50,213 GSW_2001.yml
03/30/2016  10:25 PM            37,242 GSW_2002.yml
03/30/2016  10:25 PM            38,876 GSW_2003.yml
03/30/2016  10:25 PM            42,711 GSW_2004.yml
03/30/2016  10:25 PM            42,944 GSW_2005.yml
03/30/2016  10:25 PM            37,122 GSW_2006.yml
03/30/2016  10:25 PM            71,761 GSW_2007.yml
03/30/2016  10:25 PM            42,769 GSW_2008.yml
03/30/2016  10:25 PM            41,180 GSW_2009.yml
03/30/2016  10:25 PM            46,702 GSW_2010.yml
03/30/2016  10:25 PM            40,810 GSW_2011.yml
03/30/2016  10:25 PM            46,192 GSW_2012.yml
03/30/2016  10:25 PM            67,245 GSW_2013.yml
03/30/2016  10:25 PM            69,320 GSW_2014.yml
03/30/2016  10:25 PM            66,042 GSW_2015.yml
03/30/2016  10:25 PM            39,675 GSW_2016.yml
03/30/2016  10:26 PM            37,217 HOU_2001.yml
03/30/2016  10:26 PM            35,440 HOU_2002.yml
03/30/2016  10:26 PM            37,167 HOU_2003.yml
03/30/2016  10:26 PM            65,624 HOU_2004.yml
03/30/2016  10:26 PM            74,976 HOU_2005.yml
03/30/2016  10:26 PM            48,428 HOU_2006.yml
03/30/2016  10:26 PM            61,894 HOU_2007.yml
03/30/2016  10:26 PM            74,534 HOU_2008.yml
03/30/2016  10:26 PM            67,336 HOU_2009.yml
03/30/2016  10:26 PM            48,377 HOU_2010.yml
